ID,requirements_text,CTL,Pattern
498,The _UIMiddleware_ shall enable an existing route to be assigned to an active UAV.,forall i: AG(routeToBeAssigned & uavActive(i) -> AF(routeAssignedToActiveUAV(i))),Pattern 6.1: Response - Globally
499,The _UIMiddleware_ shall accept and activate a mission plan upon request.,AG(activateMissionPlanRequest -> AF(missionPlanActivated)),Pattern 6.1: Response - Globally
500,"When the _VaadinUI_ is activated, the _VaadinUI_ shall be configured according to stored configuration parameters.",AG(VaadinUIActivated -> AF(VaadinUIConfiguredAccordingToStoredParameters)),Pattern 6.1: Response - Globally
501,"When loading the map view, the map view shall be positioned at the pre-defined location.",AG(loadMapView -> AF(mapViewPositioned = predefinedLocation)),Pattern 6.1: Response - Globally
502,The _RouteAssignmentUI_ shall provide means to select an existing routes and assign them to a UAV.,forall i: AG(UIRouteSelection & UAVSelection(i) -> AF(routeAssignedToUAV(i))),Pattern 6.1: Response - Globally
503,"When a route is assigned from a UAV, the _RouteAssignmentUI_ shall notify Dronology.",forall i: AG(UIRouteUnassignment & UAVSelection(i) -> AF(routeUnassignedFromUAV(i) & dronologyNotified)),Pattern 6.1: Response - Globally
504,"When requested by the user, the _RouteAssignmentUI_ shall display details about the selected UAV and UAV's flight plans.",AG(UAVDetailsRequest -> AF(UAVDetailsDisplayed & flightPlansDisplayed)),Pattern 6.1: Response - Globally
505,"When a UAV is selected, the _RouteAssignmentUI_ shall display UAV's active flight plans.",forall i: AG(UAVSelection(i) -> AF(activeFlightPlansDisplayed(i))),Pattern 6.1: Response - Globally
506,A user may reorder routes or remove flight plans assigned to a UAV as long as the flight has not started execution.,"forall i, j: AG((!executingFlightPlan(i, j) & (routeReorderRequest(i) | removeFlightPlanRequest(i))) -> AF(routeReordered(i) | flightPlanRemoved(i)))",Pattern 6.1: Response - Globally
507,"When a user shall cancels a pending flight plan, the _RouteAssignmentUI_ shall notify Dronology.","forall i, j: AG(cancelPendingFlightPlanRequest(i, j) -> (AF(pendingFlightPlanCancelled(i, j)) & AF(dronologyNotified(i, j))))",Pattern 6.1: Response - Globally
508,The _RouteCreationUI_ shall distinguish between starting ending and intermediate waypoint markers.,AG(RouteCreationUI_ -> AF(startingWaypointMarker & endingWaypointMarker & intermediateWaypointMarkers)),Pattern 6.1: Response - Globally
509,The _RouteCreationUI_ shall only accept valid altitude and speed values for waypoint.,AG(RouteCreationUI_ -> AF(ValidAltitudeValues & ValidSpeedValues)),Pattern 6.1: Response - Globally
510,Each route shall include a unique ID a textual description and a set of waypoints all of which are editable in the UI.,AG(route -> AF((uniqueID & textualDescription & waypointSet) & (editableID & editableDescription & editableWaypoints))),Pattern 6.1: Response - Globally
511,"When requested, the _RouteCreationUI_ shall send a newly created or modified route to dronology.",AG(RouteRequest -> AF(ModifiedRouteSentToDronology | NewRouteSentToDronology)),Pattern 6.1: Response - Globally
512,The _RouteCreationUI_ shall allow the user to create and modify a route.,AG((requestRouteCreation -> AF(routeCreated)) & (requestRouteModification -> AF(routeModified))),Pattern 6.1: Response - Globally
513,The _RouteCreationUI_ shall allow a user to delete a route.,AG(requestRouteDeletion -> AF(routeDeleted)),Pattern 6.1: Response - Globally
514,"When the _RouteCreationUI_ is loaded, a list of all existing routes shall be displayed.",AG(loadRouteCreationUI -> AF(existingRoutesDisplayed)),Pattern 6.1: Response - Globally
515,The _RealTimeFlightUI_ shall display the name and status of all currently activated UAVs.,AG(activatedUAVs -> AF(displayName & displayStatus)),Pattern 6.1: Response - Globally
516,The _RealTimeFlightUI_ shall display all currently active flight plans on the map.,AG(activeFlightPlans -> AF(displayFlightPlans)),Pattern 6.1: Response - Globally
517,The _RealTimeFlightUI_ shall allow users to apply flight operations to one or more selected UAVs.,AG(userSelectUAVs -> AF(applyFlightOperations)),Pattern 6.1: Response - Globally
518,The _RealTimeFlightUI_ shall allow users to perform emergency operations to a group of UAVs.,AG(userSelectGroupUAVs -> AF(performEmergencyOperations)),Pattern 6.1: Response - Globally
519,The _RealTimeFlightUI_ shall allow users to follow one or multiple UAVs on the map.,AG(userSelectUAVs -> AF(followUAVsOnMap)),Pattern 6.1: Response - Globally
520,The _RealTimeFlightUI_ shall notify users when an emergency occurs.,AG(emergencyOccurs -> AF(notifyUsers)),Pattern 6.1: Response - Globally
521,The _DronologyRuntimeMonitor_ shall provide functionality to retrieve monitoring messages and distribute them to clients.,AG(retrieveMonitoringMessages -> AF(distributeToClients)),Pattern 6.1: Response - Globally
522,"When a new monitoring message is received, the _DronologyRuntimeMonitor_ shall forward the message to all subscribed clients.",AG(newMonitoringMessageReceived -> AF(forwardMessageToSubscribedClients)),Pattern 6.1: Response - Globally
523,The _DronologyRuntimeMonitor_ shall be able to receive messages from any Dronology component.,AF(messageFromDronologyComponent),Pattern 2.1: Existence - Globally
524,The _GCSMiddleware_ shall handle multiple _GCS_.,AF(handleMultipleGCS),Pattern 2.1: Existence - Globally
525,The _GCSMiddleware_ shall follow a predefined set of steps to establish a connection between a _GCS_ and Dronology.,AG(initiateConnection -> AF(establishConnection)),Pattern 6.1: Response - Globally
526,The _GCSMiddleware_ shall handle state messages monitoring messages and mode change messages received from an _GCS_.,AG((StateMessage | MonitoringMessage | ModeChangeMessage) -> AF(GCSMiddlewareHandlesMessage)),Pattern 6.1: Response - Globally
527,The _GCSMiddleware_ shall forward commands sent from Dronology to a _GCS_.,AG(dronologyCommand -> AF(forwardToGCS)),Pattern 6.1: Response - Globally
528,"When the connection to the _GCS_ from the _GCSMiddleware_ is lost, the _GCSMiddleware_ shall notify Dronology and deactivate all associated UAVs.",AG(connectionLost -> AF(notifyDronology & deactivateUAVs)),Pattern 6.1: Response - Globally
529,"When the _GCS_ receives a UAV command from the _GCSMiddleware_, the _GCS_ shall forward the command to the respective UAV.",AG(commandReceived -> AF(commandForwarded(i))),Pattern 6.1: Response - Globally
530,The _GCS_ shall assign a message frequency for all UAVs.,AG(forall i : assignMessageFrequency(i)),Pattern 4.1: Universality - Globally
531,The _GCS_ shall report newly connected UAVs to the _GCSMiddleware_.,AG(forall i : newUAVConnected(i) -> AF(reportNewUAV(i))),Pattern 6.1: Response - Globally
532,The _GCS_ shall transmit the UAV's current location to the _GCSMiddleware_.,AG(forall i : UAVLocationUpdated(i) -> AF(transmitUAVLocation(i))),Pattern 6.1: Response - Globally
533,The _GCS_ shall transmit the UAV's properties to the _GCSMiddleware_.,AG(forall i : UAVPropertiesUpdated(i) -> AF(transmitUAVProperties(i))),Pattern 6.1: Response - Globally
534,The _MissionPlanner_ shall execute flight plans for multiple UAVs concurrently.,AG(forall i: executingFlightPlanUAV(i)),Pattern 4.1: Universality - Globally
535,The _MapComponent_ shall support different types of map layers.,AG(forall i: supportedMapLayerType(i)),Pattern 4.1: Universality - Globally
536,The feature of the application shall provide the optimized route for the given addresses.,AG(forall i: inputAddresses(i) -> AF(optimizedRoute(i))),Pattern 6.1: Response - Globally
537,This feature provides the user to select an optimized route for the addresses given and fixing any path between the desired locations.,"AG(forall i: inputAddresses(i) -> AF(optimizedRoute(i) & forall j: fixedPath(i, j) -> AF(fixedPathInOptimizedRoute(i, j))))",Pattern 6.1: Response - Globally
538,"Fast internet connection is not mandatory, but it would increase the performance of the application.",AG(fastInternetConnection -> AF(increasedPerformance)),Pattern 6.1: Response - Globally
539,"After every user request, new maps are needed to be loaded.",AG(userRequest -> AF(loadNewMaps)),Pattern 6.1: Response - Globally
540,"After installing the Application from iTunes or the App store, the user will be asked to login.",AG(installed -> AX(loginPrompt)),Pattern 6.1: Response - Globally
541,"Upon successful login, the user can select from the following catalogue options:  Spring 2013 ,Winter 2013.",AG(successfulLogin -> EX(selectSpring2013 | selectWinter2013)),Pattern 6.1: Response - Globally
542,"Based on the selection, the product categories will be listed: Outerwear, Soft Shell, Fleece, Knits, Wovens, Active Wear, Safety, Accessories, Team Wear, e.c.o. Collection.",AG((selectSpring2013 | selectWinter2013) -> EX(forall i: ListedCategory(i))),Pattern 6.1: Response - Globally
543,"Once a category is selected, the product thumbnail images will appear for selection.",AG(selectCategory(i) -> EX(thumbnailImagesAppear(i))),Pattern 6.1: Response - Globally
544,A user can then select the product and view the details.,AG(selectProduct(i) -> EX(viewProductDetails(i))),Pattern 6.1: Response - Globally
545,The detail page will contain all the same features and information as the website.,"AG(viewProductDetails(i) -> EX(forall j: detailFeatureAvailable(j, i)))",Pattern 6.1: Response - Globally
546,From the here the user can either proceed to call a rep for an order or proceed to the online checkout process.,AG(viewProductDetails(i) -> EX(callRepForOrder(i) | proceedToOnlineCheckout(i))),Pattern 6.1: Response - Globally
547,"Upon successful login, the user can select from the following catalogue options or use the search function indicated by the search icon in the top right hand corner of the application.",AG(loggedIn -> (AF(catalogueSelected) | AF(searchFunctionUsed))),Pattern 6.1: Response - Globally
548,"Once the icon is selected, two open text field will be available to the user to search for the product name - by product ID/SKU or by keyword.",AG(searchIconSelected -> AF(searchByProductID & searchByKeyword)),Pattern 6.1: Response - Globally
549,"Following a successful query, the search feature will query the application database to display the search results. ",AG(successfulQuery -> AF(searchResultsDisplayed)),Pattern 6.1: Response - Globally
550,"Following an unsuccessful query, the search feature will display an error message that no matches were found.",AG(!successfulQuery -> AF(errorMessageDisplayed)),Pattern 6.1: Response - Globally
551,A user can select the desired product from the results and proceed to the product details.,AG(selectedProduct -> EX(productDetails)),Pattern 6.1: Response - Globally
552,"Upon successful login, the user can select from the following catalogue options, search or use the sub navigation to find the following items: Catalogue, Videos, Contact Us.",AG(successfulLogin -> EX(selectCatalogue) | EX(search) | EX(subNavigation)),Pattern 6.1: Response - Globally
553,Should a user select to download the catalogue PDF it will be viewed on their mobile device.,AG(selectDownloadPDF -> AF(viewPDFonDevice)),Pattern 6.1: Response - Globally
554,"Should a user select videos, the 360 video list will display.",AG(selectVideos -> AF(display360VideoList)),Pattern 6.1: Response - Globally
555,Upon selecting a video it will play on their device.,AG(selectVideoFromList -> AF(playVideoOnDevice)),Pattern 6.1: Response - Globally
556,All users shall be able to zoom into images using the standard gestures on mobile devices.,AG(userPerformsZoomGesture -> AF(imageZoomedIn)),Pattern 6.1: Response - Globally
557,All Users will be able to view the next product by swiping left to right .,AG(userSwipesLeftToRight -> AF(nextProductViewed)),Pattern 6.1: Response - Globally
558,All users should be able to go back to the product category page via the back button in the top corner.,AG(backButtonPressed -> AF(returnToCategoryPage)),Pattern 6.1: Response - Globally
559,All users should be able to search by keyword or product ID.,AG(userSearches -> AF(searchByKeyword) | AF(searchByProductID)),Pattern 6.1: Response - Globally
560,"All users should be able to navigate using the sub navigation icons to access the Catalogue PDF, 360 videos, and to contact a rep representative",AG(userNavigates -> AF(accessCataloguePDF) & AF(access360Videos) & AF(contactRep)),Pattern 6.1: Response - Globally
561,The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.,AG(minimalLogic -> EF(littleComputationIssues | !computationIssues)),Pattern 6.1: Response - Globally
562,"The only hazard is a user using the device when they should not be, such as while driving.",AG(usingDeviceWhileDriving -> EF(hazard)),Pattern 6.1: Response - Globally
563,The application must be able to link up with the INTERNAL system in order for users to properly log in and be identified.,AG(loginAttempt -> AF(linkedWithInternalSystem)),Pattern 6.1: Response - Globally
564,This information must be kept secure.,AG(secureInformation),Pattern 4.1: Universality - Globally
565,"When the user fills all necessary fields, an activation mail will be sent to users mail address.",A[!necessaryFieldsFilled W (necessaryFieldsFilled & AF(activationMailSent))],Pattern 2.3: Existence - After Q
566,User will be able to log in and start using the system just after activating his/her account.,A[!accountActivated W (accountActivated & AF(userLoggedIn))],Pattern 2.3: Existence - After Q
567,User enters his/her username or email and his/her password and logs in the system.,AF(enteredUsernamePassword & AF(userLoggedIn)),Pattern 2.1: Existence - Globally
568,"User touches log out button, and logs out of the system.",AG(Logout -> AF(userLoggedOut)),Pattern 6.1: Response - Globally
569,The user will not use the system until he/she logs in again.,AG(userLoggedOut -> A[!userUsingSystem W userLoggedIn]),Pattern 1.5: Absence - After Q until R
570,"User is able to search items. User can search items according to their price, their location, their category.",AG(userSearching -> AF(searchByPrice | searchByLocation | searchByCategory)),Pattern 6.1: Response - Globally
571,"User is able to browse the profiles of other users. User can see the other users' user names, profile photos, and the users' items.",AG(userBrowsingProfiles -> AF(viewUsername & viewProfilePhoto & viewUserItems)),Pattern 6.1: Response - Globally
572,User is able to browse categories according to his/her wishes. User can also see how many items each category has.,AG(userBrowsingCategories -> AF(viewItemCount(i))),Pattern 6.1: Response - Globally
573,"User is able to browse items. User can see the items' pictures, prices, and other features.",AG(userBrowsingItems -> AF (viewItemPictures & viewItemPrices & viewOtherFeatures)),Pattern 6.1: Response - Globally
574,"If the user changes his/her username or password, a notification mail will be sent to the user's email address.",AG((usernameChanged | passwordChanged) -> AF(notificationEmailSent)),Pattern 6.1: Response - Globally
575,The changes will apply if the user clicks on the link in the email.,AG(emailLinkClicked -> A[!changesApplied W emailLinkClicked]),Pattern 1.5: Absence - After Q until R
576,User can buy credits from the system. He/she can use credit card or his/her PayPal account.,AF(buyCredits & (useCreditCard | usePayPal)),Pattern 2.1: Existence - Globally
577,"User can add the items he/she likes to his cart by touching ""Add to the cart"" button.",AF(AddToCart & itemAddedToCart),Pattern 2.1: Existence - Globally
578,"If the item the user wants is available for exchange, the user can request the exchange of items that he/she has with the item he/she wants.",AG(itemAvailableForExchange -> AF(requestExchange)),Pattern 6.1: Response - Globally
579,"The user can approve the exchange that is offered by another user by clicking ""Approve"" button.",AG(exchangeOffered -> AF(approveExchange)),Pattern 6.1: Response - Globally
580,"The user can decline the exchange that is offered by another user by clicking ""Decline"" button.",AG(exchangeOffered -> AF(declineExchange)),Pattern 6.1: Response - Globally
581,The user notifies other users that the shipment of the item has started.,AG(shipmentStarts -> AF(notifyOtherUsers)),Pattern 6.1: Response - Globally
582,The user can add as many as items he/she wants.,AG(userAddingItem -> AX(itemCount = itemCount + 1)),Pattern 6.1: Response - Globally
583,"The user can also set the price, set the amount, upload pictures of the item and add details of the item.",EF(setPrice) & EF(setAmount) & EF(uploadPictures) & EF(addDetails),Pattern 2.1: Existence - Globally
584,"The user can edit the items that he/she has already put on the system. The user can add/remove pictures, change the price and details of the item.",AG(editItem -> EF(addPictures | removePictures) & EF(changePrice) & EF(changeDetails)),Pattern 6.1: Response - Globally
585,"If the user no longer wishes to sell/exchange the item, he/she can remove the item from the system by touching ""Remove the item"" button.",AG(wishesToRemove -> AX(removeItem)),Pattern 6.1: Response - Globally
586,"If the user no longer wishes to use the system, he/she can click ""Delete Profile""button. ",AF(deleteProfile),Pattern 2.1: Existence - Globally
587,"After deleting the profile, the user will no longer be able to use the system with the account details that he entered before.",AG(deleteProfile -> AF(!useSystemWithOldDetails)),Pattern 6.1: Response - Globally
588,The user can mark an item as a favorite so that he will be notified if any change is made to the item.,AG(markFavorite -> AF(itemChanged & notifyUser)),Pattern 6.1: Response - Globally
589,The user can rate and comment about the users whom he traded with.,AF(tradedWith & (rateUser | commentUser)),Pattern 2.1: Existence - Globally
590,"User should be able to search by site name, description.",AG((searchInitiated) -> AF(searchbySiteName | searchbyDescription)),Pattern 6.1: Response - Globally
591,System should be self capable with feature of Auto Suggest.,AG(autoSuggestEnabled),Pattern 4.1: Universality - Globally
592,System should be able to return the search results in descending order in the form of list of links to the sites.,AG(searchInProgress -> AF(resultsDescending)),Pattern 6.1: Response - Globally
593,"System should be able to  display "" No results found "" in case no  search results found.",AG(!ResultsFound -> AF(displayNoResultsMessage)),Pattern 6.1: Response - Globally
594,System should have a link back to home in case no results found.,AG(!ResultsFound -> AF(displayLinkBackToHome)),Pattern 6.1: Response - Globally
595,Geo-location feature to be able to find a user.,AF(geoLocationFeatureAvailable -> AF(findUser)),Pattern 2.3: Existence - After Q
596,Use Geolocation scripts to locate user.,AG(geoLocationScriptEnabled -> AF(locateUser)),Pattern 6.1: Response - Globally
597,Check if user is within 1 mile of the campus.,AG(userWithinOneMileOfCampus),Pattern 4.1: Universality - Globally
598,"If user within 1 mile of the campus , update location.",AG(userWithinOneMileOfCampus -> AF(updateLocation)),Pattern 6.1: Response - Globally
599,User for permission to use the location service .,AF(requestLocationPermission),Pattern 2.1: Existence - Globally
600,"If the user denies to user the location service , prompt the user to home screen.",AG(denyLocationPermission -> AF(promptHomeScreen)),Pattern 6.1: Response - Globally
601,"If user allows location service , create the user.",AG(allowLocationPermission -> AF(createUser)),Pattern 6.1: Response - Globally
602,"If the system unable to update the location , show failure msg and return the user to home page.",AG(unableToUpdateLocation -> AF(showFailureMsg & returnToHomePage)),Pattern 6.1: Response - Globally
603,Update Page with link to sites nearby.,AF(displayNearbySitesLink),Pattern 2.1: Existence - Globally
604,Build Ajax Response to update home page with a link to nearby site based on user location.,AG(ajaxRequest -> AF(updateHomePage)),Pattern 6.1: Response - Globally
605,"Application should respond with a list of links to the 3 nearest sites by A-Z, sorted by name.",AG(requestNearestSites -> AF(displaySortedNearestSitesByName)),Pattern 6.1: Response - Globally
606,"Application should  respond with the sites placed on a map with markers that includes name, description and link to site page.  ",AG(requestSites -> AF(displaySitesOnMap)) & AG(displaySitesOnMap -> (name & description & linkToSitePage)),Pattern 6.1: Response - Globally
607,Application should do the  distance calculations and geolocation information for user/site and nearby sites.,AG(requestDistanceCalculation -> AF(completeDistanceCalculation)),Pattern 6.1: Response - Globally
608,"When user clicks on links to browse sites from home page, the system should respond with a list of links to all the sites by A-Z, sorted on site name.",AG(userClicksBrowseSites -> AF(displaySortedSiteList)),Pattern 6.1: Response - Globally
609,Application should collect list of all sites sorted by name.,AG(collectListOfAllSites & SortedByName),Pattern 4.1: Universality - Globally
610,Application should Build URL to each site's page.,AG(buildURLForEachSitePage),Pattern 4.1: Universality - Globally
611,"When user clicks on link to map sites from the home page, application should respond with a campus map with all the historical sites placed on it.",AG(clickMapLink -> AF(displayCampusMapWithSites)),Pattern 6.1: Response - Globally
612,"Each historical site should have  a marker for each site placed on map that include the name, shorten description, and link to the site page.",AG(historicalSiteExists -> AF(markerWithInfoOnMap)),Pattern 6.1: Response - Globally
613,The site's page should contain link to walking directions on tour.,AG(sitePageExists -> AF(containsWalkingDirectionsLink)),Pattern 6.1: Response - Globally
614,"Application should respond with a list of thumbnail images for the site, listed from oldest to newest by year.",AG(siteExists -> AF(displayThumbnails & OrderedByYear)),Pattern 6.1: Response - Globally
615,"In case no image available , application should return ""no image"" flag.",AG(!imageAvailable -> AF(displayNoImageFlag)),Pattern 6.1: Response - Globally
616,"When user clicks on a thumbnail image from the site's page, the application should replace the site's image with the medium sized clicked on image.",AG(clickThumbnail -> AF(displayMediumSizedImage)),Pattern 6.1: Response - Globally
617,Application should replace the site's description with the clicked on image description.,AG(clickThumbnail -> AF(replaceSiteDescription)),Pattern 6.1: Response - Globally
618,"When the user clicks on the main image on the site's page, application should return with a an enlarged version of the image.",AG(ClickMainImage -> AF(displayEnlargedImage)),Pattern 6.1: Response - Globally
619,"When User clicks on link to Walking Tour, application should respond with walking tour page.",AG(ClickWalkingTourLink -> AF(displayWalkingTourPage)),Pattern 6.1: Response - Globally
620,"When User clicks on link to About, application should respond with About  page.",AG(ClickAboutLink -> AF(displayAboutPage)),Pattern 6.1: Response - Globally
621,No personal data about a user is stored.,AG(!personalDataStored),Pattern 1.1: Absence - Globally
622,User location information should be  deleted nightly via a cron job.,AG(nightlyCronJobRuns -> AF(userLocationDataDeleted)),Pattern 6.1: Response - Globally
623,Project admins will need to be authorized before they can use the admin interface to manage the sites in the project.,AG(adminUsesInterface -> AF(adminAuthorized)),Pattern 6.1: Response - Globally
624,The administrator can change text elements used in the user interfaces of the sub-apps and main-app (this does not include the external resources).,AG(adminAuthorized -> AF(textElementsChanged)),Pattern 6.1: Response - Globally
625,The language can only be selected in the main app.,AG(languageSelected -> AF(inMainApp)),Pattern 6.1: Response - Globally
626,The default language of insApption is English.,AG(defaultLanguage = English),Pattern 4.1: Universality - Globally
627,The main menu contains a launcher to the Map-app.3.1.3.,AG(mainMenu -> AF(MapLauncher & (mapAppVersion = 3.1.3))),Pattern 6.1: Response - Globally
628,The main menu contains a launcher to the News-app.3.1.4.,AG(mainMenu -> AF(NewsLauncher & (newsAppVersion = 3.1.4))),Pattern 6.1: Response - Globally
629,The main menu contains a launcher to the Agenda-app.3.1.5.,AG(mainMenu -> AF(AgendaLauncher & (agendaAppVersion = 3.1.5))),Pattern 6.1: Response - Globally
630,The main menu contains a launcher to the Facebook-app.3.1.9.,AG(mainMenu -> AF(FacebookLauncher & (facebookAppVersion = 3.1.9))),Pattern 6.1: Response - Globally
631,The main menu contains a launcher to the Twitter-app.3.1.10.,AG(mainMenu -> AF(TwitterLauncher & (twitterAppVersion = 3.1.10))),Pattern 6.1: Response - Globally
632,The main menu contains a launcher to the Employee-finder-app.3.1.6.,AG(mainMenu -> AF(EmployeeFinderLauncher & (employeeFinderAppVersion = 3.1.6))),Pattern 6.1: Response - Globally
633,"The main menu contains a launcher to the Encyclopedia-app, only if the Dutch language is selected.3.1.7.",AG((language = Dutch) -> AF(mainMenu -> (EncyclopediaLauncher & (encyclopediaAppVersion = 3.1.7)))),Pattern 6.1: Response - Globally
634,"The main menu contains a launcher to the Student handbook-app, only if the Dutch language is selected.3.1.8 ",AG((language = Dutch) -> AF(mainMenu -> (StudentHandbookLauncher & (studentHandbookAppVersion = 3.1.8)))),Pattern 6.1: Response - Globally
635,"It is possible to ""like"" insApption from within the main menu.",AG(mainMenu -> EF(likeInsApption)),Pattern 6.1: Response - Globally
636,"It is possible to ""tweet"" insApption from within the main menu.",AG(mainMenu -> EF(tweetInsApption)),Pattern 6.1: Response - Globally
637,There is a link to a Twitter settings menu.,AF(TwitterSettingsLink),Pattern 2.1: Existence - Globally
638,There is a link to a Facebook settings menu.,AF(FacebookSettingsLink),Pattern 2.1: Existence - Globally
639,"In the settings menu for Twitter the user can save username in combination with password, regarding Twitter.",AG(TwitterSettingsMenu -> AF(SaveTwitterUsernameAndPassword)),Pattern 6.1: Response - Globally
640,"In the settings menu for Facebook the user can save username in combination with password, regarding Facebook.",AG(FacebookSettingsMenu -> AF(SaveFacebookUsernameAndPassword)),Pattern 6.1: Response - Globally
641,"In the settings menu for Twitter there is an option to delete the saved username in combination with the password, regarding Twitter.",AG(TwitterSettingsMenu -> AF(DeleteTwitterUsernameAndPassword)),Pattern 6.1: Response - Globally
642,"In the settings menu for Facebook there is an option to delete the saved username in combination with the password, regarding Facebook.",AG(FacebookSettingsMenu -> AF(DeleteFacebookUsernameAndPassword)),Pattern 6.1: Response - Globally
643,It is possible to search for a certain building on the campus of the TU/e by name.,AF(searchBuildingByName),Pattern 2.1: Existence - Globally
644,It is possible to search for a certain building on the campus of the TU/e by address.,AF(searchBuildingByAddress),Pattern 2.1: Existence - Globally
645,It is possible to search for a certain POI on the campus of the TU/e by name.,AF(searchPOIByName),Pattern 2.1: Existence - Globally
646,A search described in requirements UCAR201 and UCAR202 results in a displayed set of buildings that match the search input.,AG((searchByName | searchByAddress) -> AF(displayedSet)),Pattern 6.1: Response - Globally
647,A search described in requirements UCAR203 results in a displayed set of POI that match the search input.,AG(searchPOIByName -> AF(displayedPOISet)),Pattern 6.1: Response - Globally
648,"It is possible to view an element from the search result described in UCAR201, UCAR202 and UCAR203 in the map view.",AF((searchBuildingByName | searchBuildingByAddress | searchPOIByName) & viewElementOnMap),Pattern 2.1: Existence - Globally
649,It is possible to navigate from a building on the campus to another building on the campus.,AF(navigateBetweenBuildings),Pattern 2.1: Existence - Globally
650,It is possible to navigate from a building on the campus to a POI on the campus.,AF(navigateBuildingToPOI),Pattern 2.1: Existence - Globally
651,It is possible to navigate from a POI on the campus to a building on the campus.,AF(navigatePOITOBuilding),Pattern 2.1: Existence - Globally
652,It is possible to navigate from a POI on the campus to a POI on the campus.,AF(navigateBetweenPOI),Pattern 2.1: Existence - Globally
653,It is possible to navigate from an POI on the campus to another location on the campus.,AF(navigatePOIToLocation),Pattern 2.1: Existence - Globally
654,It is possible to navigate from a street on the campus to another location on the campus.,AF(navigateStreetToLocation),Pattern 2.1: Existence - Globally
655,It is possible to switch between different means of transportation in the navigator.,"AG(exists i, j: i != j & transport = Ti & EX (transport = Tj))",Pattern 4.1: Universality - Globally
656,The from-location can be searched by the name of a building.,AF(searchFromLocationByBuildingName),Pattern 2.1: Existence - Globally
657,The from-location can be searched by the address of a building.,AF(searchFromLocationByBuildingAddress),Pattern 2.1: Existence - Globally
658,The from-location can be searched by the name of a POI.,AF(searchFromLocationByPOIName),Pattern 2.1: Existence - Globally
659,The from-location is selected from the search result based on searching for a building name or address.,AG(searchResult -> AF(fromLocationSelected)),Pattern 6.1: Response - Globally
660,The from-location can be selected on the map.,AF(mapFromLocationSelected),Pattern 2.1: Existence - Globally
661,The to-location can be searched by the name of a building.,AF(searchToLocationByBuildingName),Pattern 2.1: Existence - Globally
662,The to-location can be searched by the address of a building.,AF(searchToLocationByBuildingAddress),Pattern 2.1: Existence - Globally
663,The to-location can be searched by the name of a POI.,AF(searchToLocationByPOIName),Pattern 2.1: Existence - Globally
664,The to-location is selected from the search result based on searching for a building name or address.,AG(searchResult -> AF(toLocationSelected)),Pattern 6.1: Response - Globally
665,The to-location can be selected on the map.,AF(mapToLocationSelected),Pattern 2.1: Existence - Globally
666,The route planned by the navigator is shown in the map view.,AG(routePlanned -> AF(routeShownInMapView)),Pattern 6.1: Response - Globally
667,The application has a map view in stylistic style.,AG(mapView -> stylisticStyle),Pattern 4.1: Universality - Globally
668,The application has a map view in satellite style.,AG(mapView -> satelliteStyle),Pattern 4.1: Universality - Globally
669,It is possible to switch between stylistic map view and satellite map view.,AF((stylisticView & EX(satelliteView)) | (satelliteView & EX(stylisticView))),Pattern 2.1: Existence - Globally
670,It is possible to zoom when in the map view.,AG(mapView -> AF(zoom)),Pattern 6.1: Response - Globally
671,It is possible to pan when in the map view.,AG(mapView -> AF(pan)),Pattern 6.1: Response - Globally
672,Current location is shown in the map view.,AG(mapView -> currentLocation),Pattern 4.1: Universality - Globally
673,POI of a building are indicated.,AG(buildingView -> POIsIndicated),Pattern 4.1: Universality - Globally
674,"It is possible to ""tweet"" the user's current location.",EF(currentLocation & tweetCurrentLocation),Pattern 2.1: Existence - Globally
675,It is possible to change the status on Facebook. The new status will indicate the user's current location.,EF(currentLocation & changeFacebookStatus),Pattern 2.1: Existence - Globally
676,The administrator can change the stylistic map.,AG(administrator -> AF(changeStylisticMap)),Pattern 6.1: Response - Globally
677,The administrator can add buildings.,AG(administrator -> AF(addBuildings)),Pattern 6.1: Response - Globally
678,The administrator can remove buildings.,AG(administrator -> AF(removeBuildings)),Pattern 6.1: Response - Globally
679,The administrator can add vertices of a path which is used in the route planner.,AG(administrator -> AF(addPathVertices)),Pattern 6.1: Response - Globally
680,The administrator can remove vertices of a path which is used in the route planner.,AG(administrator -> AF(removePathVertices)),Pattern 6.1: Response - Globally
681,The administrator can remove edges of a path which is used in the route planner.,AG(administrator -> AF(removePathEdges)),Pattern 6.1: Response - Globally
682,The administrator can add edges of a path which is used in the route planner.,AG(administrator -> AF(addPathEdges)),Pattern 6.1: Response - Globally
683,"The administrator can add POI. A POI should belong to a certain building, floor and room number.","AG(administrator -> AF(addPOI(B, F, R)))",Pattern 6.1: Response - Globally
684,"The administrator can remove POI. A POI should belong to a certain building, floor and room number.","AG(administrator -> AF(removePOI(B, F, R)))",Pattern 6.1: Response - Globally
685,"The administrator can link a POI to a certain building, floor and room.","AG(administrator -> AF(linkPOI(p, B, F, R)))",Pattern 6.1: Response - Globally
686,"The administrator can unlink a POI from a certain building, floor and room.","AG(administrator -> AF(unlinkPOI(p, B, F, R)))",Pattern 6.1: Response - Globally
687,Titles of all news items available through the news RSS-feeds are shown on the title screen.,AG(titleScreen -> AF(showNewsTitles(RSS))),Pattern 6.1: Response - Globally
